id,lat,lon,ph,cec,sand,clay,silt,humus,stickstoff
F53.014_10.635,53.014,10.635,5.9,21.37,63.7,10.67,25.63,41.87,3.95
F51.57_10.713,51.57,10.713,5.1,21.1,23.13,29.5,47.37,37.17,2.81
F51.811_10.229,51.811,10.229,5.0,23.63,15.4,28.9,55.67,65.03,3.9
F53.138_10.305,53.138,10.305,6.1,19.3,53.67,14.03,32.3,38.97,2.74
F53.41_10.865,53.41,10.865,5.87,20.97,59.07,16.17,24.77,61.6,4.74
F52.194_9.181,52.194,9.181,6.37,18.2,35.07,16.83,48.07,35.47,3.59
F52.497_9.954,52.497,9.954,5.5,19.4,54.9,18.63,26.47,33.47,3.52
F51.501_10.16,51.501,10.16,5.23,22.03,46.57,17.77,35.67,43.93,3.18
F53.288_10.781,53.288,10.781,6.0,27.0,52.3,20.4,27.3,50.23,3.93
F52.783_10.272,52.783,10.272,4.93,19.33,54.53,16.93,28.53,54.33,4.01
F52.345_10.722,52.345,10.722,5.1,21.63,48.5,17.5,34.0,39.7,3.62
F52.247_9.961,52.247,9.961,6.77,19.43,15.47,23.6,60.93,26.87,2.77
F51.877_9.302,51.877,9.302,4.8,23.53,15.33,25.17,59.43,58.03,3.72
F51.723_10.616,51.723,10.616,4.77,27.73,24.03,28.07,47.9,76.13,5.43
F51.93_10.504,51.93,10.504,5.87,21.4,26.5,33.3,40.17,41.83,3.5
F52.097_10.128,52.097,10.128,5.33,21.07,16.5,22.6,60.93,38.1,2.95
F53.387_9.725,53.387,9.725,5.33,18.27,70.47,8.23,21.3,65.7,3.78
F51.557_9.962,51.557,9.962,5.9,19.27,36.83,29.17,34.0,31.5,2.8
F52.184_9.609,52.184,9.609,5.4,20.0,22.5,27.67,49.83,32.7,2.8
F53.273_10.714,53.273,10.714,5.3,18.2,59.47,16.17,24.37,36.77,3.0
F51.501_10.158,51.501,10.158,5.23,22.03,46.57,17.77,35.67,43.93,3.18
F51.795_10.476,51.795,10.476,4.5,31.53,26.8,23.23,49.97,94.73,5.23
F52.932_9.292,52.932,9.292,5.33,20.63,73.1,7.3,19.6,45.9,3.08
F53.459_10.718,53.459,10.718,5.53,20.63,59.2,17.4,23.37,50.57,3.2
F51.96_10.575,51.96,10.575,5.47,22.63,20.4,27.6,52.0,51.87,3.78
F51.847_11.041,51.847,11.041,5.67,23.23,13.87,24.3,61.83,44.3,3.94
F53.16_10.459,53.16,10.459,5.73,18.97,64.63,10.3,25.07,51.87,4.28
F53.235_9.955,53.235,9.955,4.97,19.13,45.57,18.17,36.23,70.93,3.23
F52.134_9.96,52.134,9.96,5.97,20.63,24.87,27.0,48.07,36.4,2.74
F52.337_10.732,52.337,10.732,4.93,21.4,51.03,17.03,31.93,44.0,3.92
F52.186_9.606,52.186,9.606,5.3,19.9,21.77,26.87,51.33,40.37,2.95
F52.28_10.758,52.28,10.758,5.27,23.4,38.53,21.57,39.9,47.47,3.61
F52.285_10.62,52.285,10.62,5.17,23.5,41.73,21.43,36.87,46.1,5.03
F52.431_10.322,52.431,10.322,5.5,21.03,50.93,18.17,30.87,40.63,2.77
F51.745_10.74,51.745,10.74,4.73,23.77,20.6,29.7,49.67,75.17,4.33
F51.752_10.966,51.752,10.966,5.57,22.57,17.33,31.77,50.9,50.37,3.87
F51.886_9.554,51.886,9.554,5.33,21.23,14.37,26.43,59.23,47.37,4.06
F53.18_10.463,53.18,10.463,5.3,18.07,63.57,12.47,23.97,57.2,3.49
F51.533_10.02,51.533,10.02,5.3,19.73,36.13,29.4,34.47,51.77,3.96
F52.366_9.735,52.366,9.735,5.77,21.9,46.9,20.33,32.73,38.67,3.61
F52.28_10.583,52.28,10.583,5.8,22.53,37.27,24.53,38.2,34.17,3.61
F52.572_10.675,52.572,10.675,5.03,20.43,55.67,13.7,30.7,36.0,3.55
F52.27_9.681,52.27,9.681,5.27,19.57,28.57,25.8,45.67,44.1,2.99
F53.225_9.965,53.225,9.965,5.03,19.4,60.63,13.8,25.6,79.53,3.81
F52.156_9.411,52.156,9.411,5.0,18.73,20.03,28.83,51.13,54.67,3.68
F53.162_11.027,53.162,11.027,5.07,21.3,52.7,11.07,36.17,71.33,3.72
F51.634_10.027,51.634,10.027,5.63,20.23,36.47,29.57,33.97,37.77,3.33
F51.85_10.281,51.85,10.281,4.7,24.37,16.97,27.2,55.83,96.3,4.72
F51.736_11.012,51.736,11.012,5.37,22.07,18.77,25.3,55.93,44.9,3.53
F53.233_10.441,53.233,10.441,5.4,21.13,59.77,13.63,26.6,54.1,3.66
F52.355_9.78,52.355,9.78,5.37,19.57,39.23,24.03,36.77,43.57,3.31
F52.79_10.129,52.79,10.129,4.93,20.6,66.63,12.5,20.87,66.77,4.18
F51.752_9.606,51.752,9.606,4.63,24.4,18.67,24.6,56.77,81.5,4.41
F53.117_10.082,53.117,10.082,5.3,21.17,50.77,12.5,36.73,60.4,3.67
