art,gbif_id,datum,lat,lon,monat,hoehe,regen_reife,regen_frisch,regentage,tage_seit_regen,regen_60,bilanz_14,bilanz_60,temp,bt07,bf07,bt728,bf728,frosttage,min_temp,min_boden,tage_vorhanden,tage_lang,tage_et0
schwefelporling,6343959874,2026-05-16,52.05152,10.10043,5,223.0,62.9,18.2,9,2,139.2,43.2,-14.7,10.8,8.3,0.341,8.7,0.297,,,,15,,
schwefelporling,6344014800,2026-05-03,52.32125,9.76626,5,57.0,12.4,0.0,2,13,63.7,-41.9,-85.0,11.3,16.0,0.081,13.6,0.147,,,,15,,
schwefelporling,6344100154,2026-05-23,51.75966,9.98316,5,161.0,47.9,13.5,8,3,176.7,18.3,17.6,11.3,14.2,0.261,13.0,0.258,,,,15,,
schwefelporling,6344101079,2026-05-23,53.16616,9.96764,5,121.0,34.7,9.3,10,3,129.5,2.4,-34.8,11.2,14.3,0.185,12.8,0.154,,,,15,,
schwefelporling,6344180802,2026-05-24,51.71914,10.97394,5,287.0,48.3,1.0,10,4,207.4,3.1,44.2,11.7,14.6,0.339,12.9,0.346,,,,15,,
schwefelporling,6344225035,2026-05-20,52.8706,11.96417,5,26.0,38.0,8.4,8,0,112.8,6.9,-42.7,10.6,11.8,0.343,10.8,0.328,,,,15,,
schwefelporling,6344336616,2026-05-06,52.26901,10.57334,5,77.0,0.0,37.9,3,0,105.2,-15.4,-43.3,11.8,16.3,0.147,14.7,0.151,,,,15,,
schwefelporling,6344396558,2026-05-23,51.61887,10.44174,5,286.0,38.3,10.0,9,3,168.3,6.6,17.5,10.5,13.3,0.301,12.1,0.293,,,,15,,
schwefelporling,6344402953,2026-05-17,51.56423,10.15809,5,156.0,87.9,10.7,9,3,167.2,63.5,22.1,10.4,8.4,0.335,8.7,0.316,,,,15,,
schwefelporling,6344426417,2026-05-28,51.65156,11.11875,5,345.0,25.7,0.0,5,7,169.1,-30.7,0.2,13.2,16.3,0.282,14.7,0.318,,,,15,,
schwefelporling,6344446986,2026-05-04,53.43598,10.15155,5,1.0,13.5,0.6,1,14,72.3,-37.9,-69.0,11.1,16.4,0.188,13.7,0.275,,,,15,,
schwefelporling,6344454586,2026-05-31,53.06938,9.69454,5,62.0,24.0,4.3,6,2,104.1,-30.9,-81.6,15.8,17.7,0.087,16.3,0.104,,,,15,,
schwefelporling,6344464030,2026-05-16,51.81089,10.22887,5,375.0,77.7,28.5,11,2,193.0,72.1,52.3,10.0,7.0,0.4,7.6,0.401,,,,15,,
schwefelporling,6344474993,2026-05-28,52.25042,10.52631,5,78.0,20.9,0.0,4,8,130.9,-42.0,-59.8,15.4,22.6,0.089,19.6,0.184,,,,15,,
schwefelporling,6344532116,2026-05-23,52.29252,10.7742,5,126.0,39.6,8.9,7,3,141.2,4.7,-18.3,11.5,14.9,0.23,13.2,0.247,,,,15,,
schwefelporling,6344531682,2026-05-14,52.22925,10.19228,5,71.0,46.9,32.8,8,0,126.8,35.9,-28.1,12.1,10.3,0.312,10.4,0.253,,,,15,,
schwefelporling,6344627224,2026-05-04,53.43563,9.66441,5,28.0,11.2,10.7,2,1,88.1,-26.5,-50.2,10.3,14.5,0.122,12.3,0.199,,,,15,,
schwefelporling,6344631190,2026-05-19,53.24621,10.41652,5,15.0,57.3,11.3,11,1,117.0,31.5,-43.3,9.9,10.9,0.176,10.3,0.167,,,,15,,
