id,lat,lon,ph,cec,sand,clay,silt,humus,stickstoff
W0276,52.3383,10.9861,6.87,22.97,50.7,16.17,33.13,27.57,3.74
W0277,52.3383,11.1043,5.73,23.97,47.67,20.07,32.3,43.63,4.2
W0278,52.3383,11.1338,6.93,23.23,51.23,19.2,29.63,31.63,4.45
W0279,52.3563,10.1,5.23,20.23,44.57,22.17,33.3,36.83,3.0
W0280,52.3563,10.1295,5.97,20.4,50.3,21.1,28.6,34.93,2.71
W0281,52.3563,10.2772,6.5,20.77,60.7,10.2,29.1,53.3,3.9
W0282,52.3563,10.3068,6.63,20.07,54.83,15.47,29.77,32.6,2.92
W0283,52.3563,10.3363,6.43,21.07,49.77,18.7,31.53,35.43,3.39
W0284,52.3563,10.3658,5.77,23.03,49.67,20.1,30.2,36.87,3.1
W0285,52.3563,10.4249,5.43,22.53,55.17,18.6,26.23,46.2,4.09
W0286,52.3563,10.484,5.93,20.83,50.83,21.1,28.07,32.67,3.1
W0287,52.3563,10.5135,5.33,21.57,43.97,21.93,34.07,41.37,3.7
W0288,52.3563,10.5726,6.5,22.33,42.67,22.27,35.07,33.8,3.72
W0289,52.3563,10.6021,6.43,23.93,51.07,18.1,30.83,28.13,2.92
W0290,52.3563,10.6317,6.57,22.67,47.93,18.07,34.0,34.93,3.48
W0291,52.3563,10.6612,6.47,22.3,46.43,21.03,32.53,26.37,3.17
W0292,52.3563,10.6908,6.47,22.8,53.23,16.5,30.27,28.87,3.33
W0293,52.3563,10.8089,6.63,22.23,49.3,18.53,32.17,29.6,3.38
W0294,52.3563,10.8384,5.93,22.17,45.2,22.6,32.23,38.77,3.74
W0295,52.3563,10.868,6.47,22.9,39.17,21.97,38.83,33.17,3.39
W0296,52.3563,10.9861,5.07,23.1,51.0,18.8,30.2,48.5,4.49
W0297,52.3563,11.0157,6.3,24.3,55.63,16.9,27.43,35.8,4.97
W0298,52.3563,11.0452,6.3,25.37,61.43,15.43,23.13,39.23,4.7
W0299,52.3563,11.0747,5.07,24.5,55.83,14.67,29.47,55.1,5.19
W0300,52.3563,11.1043,5.07,23.03,54.43,14.4,31.17,49.13,4.61
W0301,52.3563,11.1338,5.3,23.97,51.5,19.2,29.3,41.07,4.18
W0302,52.3743,10.1,6.5,19.17,49.57,24.0,26.43,35.53,3.19
W0303,52.3743,10.1886,6.3,18.9,58.97,16.97,24.03,32.43,2.99
W0304,52.3743,10.3068,6.5,21.0,54.3,14.67,31.03,34.33,3.29
W0305,52.3743,10.3363,5.23,20.27,38.53,19.83,41.7,43.23,3.28
W0307,52.3743,10.3954,6.3,22.67,56.5,18.53,24.97,37.2,3.33
W0308,52.3743,10.4249,5.07,21.03,54.33,18.07,27.63,44.9,3.07
W0309,52.3743,10.5135,6.4,21.83,51.67,16.93,31.4,30.73,3.31
W0310,52.3743,10.5726,6.43,21.7,54.57,17.23,28.2,33.5,3.31
W0311,52.3743,10.6612,6.37,21.97,55.27,17.17,27.57,32.7,3.29
W0312,52.3743,10.6908,5.8,23.37,56.33,14.4,29.23,38.93,4.46
W0313,52.3743,10.7203,5.2,23.0,46.03,19.3,34.7,43.63,3.66
W0314,52.3743,10.7498,4.93,20.8,51.37,17.4,31.23,41.33,3.42
W0315,52.3743,10.7794,5.17,22.03,46.8,21.5,31.73,47.17,3.26
W0316,52.3743,10.8089,5.13,22.77,47.6,16.67,35.77,43.97,3.3
W0317,52.3743,10.8384,6.4,21.27,43.37,21.0,35.67,29.77,3.32
W0318,52.3743,10.868,5.2,21.63,42.0,19.7,38.23,40.9,3.69
W0319,52.3743,10.8975,6.7,23.3,51.6,20.8,27.67,31.33,3.77
W0320,52.3743,10.9861,5.33,24.97,51.2,18.87,29.97,66.9,6.78
W0321,52.3743,11.0157,4.93,25.87,51.13,21.13,27.77,55.77,5.48
W0322,52.3743,11.0452,6.27,25.07,62.67,12.6,24.73,37.3,4.26
W0323,52.3743,11.0747,6.23,23.8,62.4,13.07,24.57,35.57,4.18
W0324,52.3923,10.2182,6.2,20.83,56.27,11.97,31.77,35.6,4.27
W0325,52.3923,10.2477,6.37,19.33,60.47,14.17,25.37,34.43,3.18
W0326,52.3923,10.3363,6.33,21.57,58.53,12.57,28.87,33.03,3.4
W0327,52.3923,10.3658,5.53,21.63,57.83,14.57,27.57,47.97,4.08
W0328,52.3923,10.3954,6.3,22.03,56.9,17.13,25.93,35.2,3.69
W0329,52.3923,10.4545,5.5,21.63,48.17,20.13,31.73,39.37,3.02
W0330,52.3923,10.484,5.9,22.23,56.03,17.13,26.83,41.07,3.61
W0331,52.3923,10.5135,5.7,20.93,59.23,16.87,23.87,34.67,3.0
W0332,52.3923,10.6021,5.77,21.8,56.83,16.9,26.23,32.7,3.82
W0333,52.3923,10.6612,6.47,21.7,56.47,16.1,27.47,29.37,3.36
W0334,52.3923,10.6908,6.33,20.93,61.1,14.0,24.87,34.7,3.96
W0337,52.3923,10.7794,4.97,21.63,49.7,20.2,30.1,51.63,3.41
W0338,52.3923,10.8089,6.5,22.17,53.3,17.47,29.27,31.1,3.56
W0339,52.3923,10.868,5.73,21.37,45.87,19.7,34.43,47.3,3.99
W0340,52.3923,10.8975,6.6,22.5,51.43,15.87,32.7,30.53,3.78
W0341,52.3923,11.0157,5.87,24.4,51.77,18.13,30.07,38.67,4.08
W0342,52.3923,11.0452,5.2,23.33,57.67,14.47,27.87,53.3,4.68
W0343,52.3923,11.0747,5.07,23.43,58.1,17.93,23.97,52.2,4.64
W0344,52.4104,10.1,6.23,19.37,55.13,21.6,23.3,28.13,3.32
W0345,52.4104,10.1295,6.33,20.33,49.07,20.33,30.6,33.87,3.3
W0347,52.4104,10.2182,5.7,19.13,55.7,17.23,27.07,34.7,3.36
W0348,52.4104,10.2477,6.47,20.5,47.9,19.33,32.77,34.67,3.17
W0349,52.4104,10.2772,5.73,19.53,49.1,20.07,30.8,35.43,3.2
W0350,52.4104,10.3363,6.23,22.47,64.23,11.33,24.43,34.9,3.38
W0351,52.4104,10.3658,5.43,22.3,63.93,11.2,24.83,48.63,4.06
W0352,52.4104,10.4249,5.5,20.33,55.53,17.43,27.03,40.87,3.08
W0353,52.4104,10.4545,5.07,18.97,59.8,13.43,26.8,38.47,3.04
W0354,52.4104,10.484,5.13,21.67,56.83,16.97,26.17,38.63,3.64
W0355,52.4104,10.5135,5.57,22.1,60.17,15.9,23.93,37.63,3.57
W0356,52.4104,10.5431,5.4,20.9,55.27,18.3,26.43,42.57,3.15
W0359,52.4104,10.8089,5.63,22.97,50.43,18.93,30.7,39.77,3.65
W0360,52.4104,10.868,5.03,23.23,47.87,17.57,34.53,48.83,4.4
W0361,52.4104,10.8975,4.93,21.57,52.37,15.17,32.47,47.1,4.02
W0362,52.4104,10.9271,6.0,24.57,44.83,18.23,36.93,43.47,3.96
W0363,52.4104,10.9566,5.57,24.0,51.67,17.47,30.87,48.97,3.86
W0364,52.4104,11.0452,6.07,23.3,51.3,23.63,25.07,39.8,3.65
W0365,52.4284,10.1,5.1,18.93,44.83,19.7,35.47,41.07,3.17
W0366,52.4284,10.1295,5.23,19.33,44.67,26.27,29.1,43.8,3.38
W0367,52.4284,10.1591,5.97,19.0,56.67,16.53,26.8,34.5,2.75
W0368,52.4284,10.1886,5.6,21.0,53.37,19.1,27.5,39.2,2.97
W0369,52.4284,10.2182,6.3,20.9,57.0,17.73,25.27,30.57,3.16
W0370,52.4284,10.2477,6.3,19.77,49.3,21.73,29.0,36.63,3.3
W0371,52.4284,10.2772,5.57,19.5,50.2,21.17,28.67,44.83,3.65
