datum,ort,lat,lon,regen_icon,regen_era5,temperatur,bt07,bf07,bt728,bf728,et0,quelle
2026-08-01,W0173,52.2482,10.8089,1.3,,18.5,20.5,0.173,20.5,0.151,3.48,icon_d2
2026-08-01,W0174,52.2482,10.9566,1.1,,19.0,21.4,0.166,21.6,0.148,3.38,icon_d2
2026-08-01,W0175,52.2482,10.9861,1.1,,18.9,21.4,0.166,21.6,0.148,3.37,icon_d2
2026-08-01,W0176,52.2482,11.0157,2.0,,18.5,21.4,0.166,21.6,0.148,3.22,icon_d2
2026-08-01,W0177,52.2482,11.0452,1.7,,18.5,21.4,0.166,21.6,0.148,3.21,icon_d2
2026-08-01,W0178,52.2482,11.0747,1.8,,18.7,21.8,0.194,22.1,0.15,3.26,icon_d2
2026-08-01,W0179,52.2482,11.1043,1.4,,19.1,21.3,0.197,21.8,0.137,3.39,icon_d2
2026-08-01,W0180,52.2482,11.1338,1.1,,18.9,21.3,0.197,21.8,0.137,3.42,icon_d2
2026-08-01,W0181,52.2662,10.1886,0.4,,18.6,20.8,0.17,20.9,0.149,3.82,icon_d2
2026-08-01,W0182,52.2662,10.2477,0.3,,18.6,21.2,0.149,21.2,0.142,3.74,icon_d2
2026-08-01,W0183,52.2662,10.2772,0.5,,18.5,21.2,0.149,21.2,0.142,3.65,icon_d2
2026-08-01,W0184,52.2662,10.3068,0.5,,18.7,21.2,0.149,21.2,0.142,3.66,icon_d2
2026-08-01,W0185,52.2662,10.6021,0.3,,18.8,20.2,0.206,20.1,0.145,3.6,icon_d2
2026-08-01,W0186,52.2662,10.6317,0.9,,19.1,20.2,0.206,20.1,0.145,3.57,icon_d2
2026-08-01,W0187,52.2662,10.6612,0.9,,18.9,20.2,0.206,20.1,0.145,3.55,icon_d2
2026-08-01,W0188,52.2662,10.7203,1.4,,18.8,20.2,0.206,20.1,0.145,3.55,icon_d2
2026-08-01,W0189,52.2662,10.868,1.3,,19.0,20.5,0.173,20.5,0.151,3.59,icon_d2
2026-08-01,W0190,52.2662,10.8975,0.7,,18.6,21.4,0.166,21.6,0.148,3.4,icon_d2
2026-08-01,W0191,52.2662,10.9566,0.6,,18.8,21.4,0.166,21.6,0.148,3.35,icon_d2
2026-08-01,W0192,52.2662,10.9861,1.1,,18.6,21.4,0.166,21.6,0.148,3.35,icon_d2
2026-08-01,W0193,52.2662,11.0157,0.7,,18.5,21.4,0.166,21.6,0.148,3.18,icon_d2
2026-08-01,W0194,52.2662,11.0452,1.2,,18.6,21.4,0.166,21.6,0.148,3.22,icon_d2
2026-08-01,W0195,52.2662,11.0747,1.0,,19.0,21.3,0.197,21.8,0.137,3.3,icon_d2
2026-08-01,W0196,52.2662,11.1043,1.2,,18.8,21.3,0.197,21.8,0.137,3.34,icon_d2
2026-08-01,W0197,52.2662,11.1338,0.8,,18.3,21.3,0.197,21.8,0.137,3.32,icon_d2
2026-08-01,W0198,52.2842,10.1,0.5,,18.4,20.8,0.17,20.9,0.149,3.79,icon_d2
2026-08-01,W0199,52.2842,10.1886,0.4,,18.4,20.8,0.17,20.9,0.149,3.78,icon_d2
2026-08-01,W0200,52.2842,10.2477,0.5,,18.6,21.2,0.149,21.2,0.142,3.77,icon_d2
2026-08-01,W0201,52.2842,10.3363,0.8,,18.7,21.2,0.149,21.2,0.142,3.63,icon_d2
2026-08-01,W0202,52.2842,10.3658,1.0,,18.8,21.2,0.149,21.2,0.142,3.74,icon_d2
2026-08-01,W0203,52.2842,10.3954,1.3,,18.9,20.7,0.173,20.5,0.136,3.86,icon_d2
2026-08-01,W0204,52.2842,10.4545,1.6,,19.0,21.2,0.147,21.4,0.142,3.79,icon_d2
2026-08-01,W0205,52.2842,10.5135,0.6,,19.4,21.2,0.147,21.4,0.142,3.8,icon_d2
2026-08-01,W0206,52.2842,10.5431,0.2,,19.3,21.2,0.147,21.4,0.142,3.75,icon_d2
2026-08-01,W0207,52.2842,10.5726,0.2,,19.1,20.2,0.206,20.1,0.145,3.76,icon_d2
2026-08-01,W0208,52.2842,10.6021,0.1,,18.9,20.2,0.206,20.1,0.145,3.69,icon_d2
2026-08-01,W0209,52.2842,10.6317,0.1,,18.9,20.2,0.206,20.1,0.145,3.65,icon_d2
2026-08-01,W0210,52.2842,10.7203,1.1,,18.9,20.2,0.206,20.1,0.145,3.64,icon_d2
2026-08-01,W0211,52.2842,10.8089,0.9,,18.8,20.5,0.173,20.5,0.151,3.62,icon_d2
2026-08-01,W0212,52.2842,10.8384,1.1,,19.0,20.5,0.173,20.5,0.151,3.61,icon_d2
2026-08-01,W0213,52.2842,10.868,1.2,,18.3,20.5,0.173,20.5,0.151,3.49,icon_d2
2026-08-01,W0214,52.2842,10.8975,1.2,,18.7,21.1,0.163,20.9,0.143,3.46,icon_d2
2026-08-01,W0215,52.2842,11.0157,0.9,,18.3,21.4,0.166,21.6,0.148,3.15,icon_d2
2026-08-01,W0216,52.2842,11.0452,0.9,,18.7,21.4,0.166,21.6,0.148,3.19,icon_d2
2026-08-01,W0217,52.2842,11.0747,0.7,,18.7,21.3,0.197,21.8,0.137,3.28,icon_d2
2026-08-01,W0218,52.2842,11.1043,0.7,,18.8,21.3,0.197,21.8,0.137,3.28,icon_d2
2026-08-01,W0219,52.2842,11.1338,0.8,,18.7,21.3,0.197,21.8,0.137,3.25,icon_d2
2026-08-01,W0220,52.3023,10.1886,0.5,,18.5,20.5,0.167,20.7,0.146,3.74,icon_d2
2026-08-01,W0221,52.3023,10.2772,0.2,,18.7,21.2,0.149,21.2,0.142,3.72,icon_d2
2026-08-01,W0222,52.3023,10.3068,0.1,,18.7,21.2,0.149,21.2,0.142,3.76,icon_d2
2026-08-01,W0223,52.3023,10.3363,0.6,,18.6,20.7,0.173,20.5,0.136,3.75,icon_d2
2026-08-01,W0224,52.3023,10.3658,0.6,,18.8,20.7,0.173,20.5,0.136,3.77,icon_d2
2026-08-01,W0225,52.3023,10.4249,1.3,,18.9,21.2,0.147,21.4,0.142,3.7,icon_d2
2026-08-01,W0226,52.3023,10.5431,0.7,,19.0,21.1,0.164,21.1,0.146,3.71,icon_d2
2026-08-01,W0227,52.3023,10.5726,0.2,,18.8,21.1,0.164,21.1,0.146,3.7,icon_d2
2026-08-01,W0228,52.3023,10.6317,0.1,,19.0,20.2,0.206,20.1,0.145,3.7,icon_d2
2026-08-01,W0229,52.3023,10.6612,0.1,,18.9,21.3,0.141,21.2,0.143,3.68,icon_d2
2026-08-01,W0230,52.3023,10.6908,0.4,,18.8,21.3,0.141,21.2,0.143,3.71,icon_d2
2026-08-01,W0231,52.3023,10.7203,0.4,,18.9,21.3,0.141,21.2,0.143,3.72,icon_d2
2026-08-01,W0232,52.3023,10.8089,0.9,,18.9,20.5,0.173,20.5,0.151,3.66,icon_d2
2026-08-01,W0233,52.3023,10.8384,0.7,,19.0,21.1,0.163,20.9,0.143,3.62,icon_d2
2026-08-01,W0234,52.3023,10.868,0.7,,18.9,21.1,0.163,20.9,0.143,3.62,icon_d2
2026-08-01,W0235,52.3023,10.8975,0.8,,18.9,21.1,0.163,20.9,0.143,3.53,icon_d2
2026-08-01,W0236,52.3023,10.9271,0.8,,18.7,21.4,0.166,21.6,0.148,3.44,icon_d2
2026-08-01,W0237,52.3023,10.9861,0.7,,18.5,21.4,0.166,21.6,0.148,3.22,icon_d2
2026-08-01,W0238,52.3023,11.0157,0.4,,18.8,20.9,0.171,20.8,0.135,3.27,icon_d2
2026-08-01,W0239,52.3023,11.0452,0.5,,18.9,20.9,0.171,20.8,0.135,3.24,icon_d2
2026-08-01,W0240,52.3023,11.0747,0.6,,18.7,21.3,0.197,21.8,0.137,3.26,icon_d2
2026-08-01,W0241,52.3023,11.1043,0.6,,18.8,21.3,0.197,21.8,0.137,3.29,icon_d2
2026-08-01,W0242,52.3023,11.1338,0.4,,18.4,21.3,0.197,21.8,0.137,3.28,icon_d2
2026-08-01,W0243,52.3203,10.2182,0.5,,18.6,20.5,0.167,20.7,0.146,3.71,icon_d2
2026-08-01,W0244,52.3203,10.3068,0.1,,18.5,20.7,0.173,20.5,0.136,3.76,icon_d2
2026-08-01,W0245,52.3203,10.3363,0.2,,18.8,20.7,0.173,20.5,0.136,3.84,icon_d2
